category,text
顶板事故,13619上综采工作面受地质构造、应力叠加、生产组织等因素影响未能正常推进，导致部分液压支架被“压死”。支架上方破碎的砂质泥岩在断层裂隙水长时间的浸泡下发生软化离散，稳定性降低。作业人员在采用扩帮、卧底的方式处理被“压死”支架的过程中，支架上方饱含水分的破碎岩石从顶梁前端迅速溃入工作面，垮漏的水石混合物呈泥石流状态快速流向工作面下方，将作业人员掩埋导致事故发生。
顶板事故,1504采煤工作面下安全出口联络斜眼未按作业规程规定支护，作业人员未认真检查支护和顶板情况，顶板离层垮落，砸伤并掩埋作业人员。
顶板事故,7月10日八点班1102N进风巷非行人侧巷道维修违反《1102N工作面巷修安全技术措施》规定，班长张森让工人将补打的锚杆锯短，本班巷修区域（事故地点）锚杆长度不符合要求致使支护强度不够，造成片帮，将7月11日零点班在此巷修清煤的赵明砸压致死。
工伤事故,伤者谢磊站位不当，违章作业，正面刷帮，刷帮时掉落一块浆皮，躲避不及，被砸到右脚脚面。
工伤事故,伤者张虎在工作面移架后行走过程中，将左手放置在两块电缆槽接茬处，支架间掉块矸石，造成左手被砸伤。
工伤事故,放液时由于脚底打滑单体倾倒，砸到徐光迎腹部。
机电事故,电源相间短路，右手腕被电弧烧伤。
工伤事故,迎头顶板未严格执行敲帮问顶制度（一人找顶、一人观察后路），帮顶活矸危岩未找净，人员站位不当，处理肩窝时未采取可靠的临时支护，导致顶板滑落的矸石砸中职工腿部至伤。
爆炸事故,506 连采工作面和开采保安煤柱工作面采空区及与之连通的老空区顶板大面积垮落，老空区气体压入与老空区连通的巷道内，扬起巷道内沉积的煤尘，弥漫506连采面，并达到爆炸浓度，在三支巷中部处于怠速状态下的无MA标志非防爆C17运煤车产生火花，点燃煤尘，发生爆炸，造成人员伤亡。
运输事故,当班采煤工作面攉煤工刘大军安全意识淡薄，违反采煤工作面作业规程和安全技术措施的规定，违章跨越正在运行的刮板输送机，在跨越时不慎摔倒，被刮板输送机拖行至采煤机电机处受撞击和挤压而受伤致死
机电事故,钳工进入破碎机箱体内作业时，未使用滚筒制动卡具和检修平台，电工在未确认安全的情况下启动破碎机，致使钳工被破碎机卷压，导致本次事故发生。
运输事故,无轨胶轮车驾驶员未按规定在斜巷驻车，误将手套挂在手动驻车器上使车辆下滑，未及时采取有效紧急制动措施，将在两车之间违规通过的工人撞击、挤压，导致本次事故发生。
顶板事故,工人违章作业，在未先支设好替换液压单体支柱的情况下直接卸载原有支柱；上端头上方断裂的顶板受回撤支柱扰动影响失稳冒落，导致事故发生。
顶板事故,职工违章进入未采取临时支护的掘进工作面正头空顶区作业，被冒落的顶板离层矸石砸倒，导致事故发生。
瓦斯事故,喷浆队5名工人在未采取检查和排放瓦斯的情况下，擅自[2]打开栅栏进入盲巷作业，携带的非防爆手机[3]引燃盲巷内积聚的瓦斯，形成了瓦斯爆炸。
火灾事故,1.中金公司施工人员在实施斜坡道维修支护项目过程中，采用氧炔焰切割冒落区垮落的钢拱架上部凹陷的钢板时，引燃冒落区支护充填用的草垫、竹架板、圆木等可燃物造成火灾，产生的大量一氧化碳等有毒有害气体，经斜坡道随风流下行进入3号、4号破碎硐室和A1胶带运输平巷，造成9名当班作业人员一氧化碳中毒死亡。2.西沟矿在抢险救援过程中，施救不当，造成3人一氧化碳中毒死亡、17人一氧化碳中毒受伤。
火灾事故,"盲竖井VV22 3*185mm2铠装低压电缆因质量不合格,在使用中发热老化,达到一定程度后,在12中段下方60米断点处绝缘层被电流击穿,发生短路,产生电弧,引燃自身及靠近的玻璃钢隔板,是事故发生的直接原因。"
火灾事故,兴利公司风井井巷钢棚支护施工过程中，作业人员在电焊作业时引燃木背板，致使用于接帮和接顶的木背板燃烧，产生的一氧化碳等有毒有害气体经风井与副井之间的旧巷和冒落的老空区形成的漏风通道进入副井，造成人员伤亡。
火灾事故,1月14日，吉林老金厂金矿股份有限公司在老牛槽区二段盲竖井-483米至-486米间进行焊割安装钢支护作业时，掉落的金属熔化物(焊渣和熔珠)造成井筒衬木阴燃，导致发生火灾。
火灾事故,李生文矿维修工在盲1井的井筒内违章使用电焊，焊割下的高温金属残渣掉落在井壁充填护帮的荆笆上，造成长时间阴燃，最后引燃井筒周围的荆笆及木支护等可燃物，引发井下火灾。
爆炸事故,导爆管雷管在裸露运送途中造成导爆管破损，破损的导爆管雷管在无防爆设施的躲避硐 室内发放，遇到漏电产生的电火花引发导爆管雷管爆炸，继而引发炸药爆炸。
爆炸事故,井下作业人员违章用照明白炽灯泡集中取暖，时间长达18个小时，使易燃的编织袋等物品局部升温过热，造成灯泡炸裂引起着火，引燃井下大量使用的编织袋及聚乙烯风管、水管，火势迅速蔓延，引起其他巷 道和井下炸药库燃烧，导致炸药爆炸。在爆炸冲击波作用下，风流逆转，燃烧、爆炸产生的大量高温、有毒、有害气体进入三部平巷等处，造成井下大量人员中毒窒息死亡。
爆炸事故,经专案组分析认为该矿工队爆破工石某某违反民用爆炸物品管理规定，在工棚内放置爆炸物品并吸烟所致(在无人证的情况下，根据掌握的材料分析、推断，2日凌晨2点至2点40分期间违章在房间内接雷管导火线并吸烟，引发房间内炸药爆炸)。
工伤事故,开拓队班长贾某某使用剁斧直接剁钢丝绳，操作方法不正确，是造成这起事故的直接原因。
瓦斯事故,二掘队未严格执行作业规程，炮眼布置不符合作业规程规定。违反作业规程采用反向起爆，未使用水炮泥，放炮时产生了明火，引燃了放炮时涌出的瓦斯和顶板积聚区的瓦斯，引起火灾。
爆炸事故,管理混乱，在向井下运送民用爆炸物品（以下简称民爆物品）的过程中，严重违章作业，炸药、雷管混装吊运，野蛮装卸时发生爆炸
瓦斯事故,宝马煤矿借回撤越界区域内设备名义违法组织生产，6040 巷采工作面因停电停风，造成瓦斯积聚；1小时后恢复供电通风，积聚的高浓度瓦斯排入与之串联通风的6040 综放工作面，遇到正在违规焊接支架的电焊火花引起瓦斯燃烧，产生的火焰传导至6040 工作面进风顺槽，引起瓦斯爆炸。
顶板事故,13619上综采工作面受地质构造、应力叠加、生产组织等因素影响未能正常推进，导致部分液压支架被“压死”。支架上方破碎的砂质泥岩在断层裂隙水长时间的浸泡下发生软化离散，稳定性降低。作业人员在采用扩帮、卧底的方式处理被“压死”支架的过程中，支架上方饱含水分的破碎岩石从顶梁前端迅速溃入工作面，垮漏的水石混合物呈泥石流状态快速流向工作面下方，将作业人员掩埋导致事故发生。
顶板事故,1504采煤工作面下安全出口联络斜眼未按作业规程规定支护，作业人员未认真检查支护和顶板情况，顶板离层垮落，砸伤并掩埋作业人员。
顶板事故,7月10日八点班1102N进风巷非行人侧巷道维修违反《1102N工作面巷修安全技术措施》规定，班长张森让工人将补打的锚杆锯短，本班巷修区域（事故地点）锚杆长度不符合要求致使支护强度不够，造成片帮，将7月11日零点班在此巷修清煤的赵明砸压致死。
工伤事故,伤者谢磊站位不当，违章作业，正面刷帮，刷帮时掉落一块浆皮，躲避不及，被砸到右脚脚面。
工伤事故,伤者张虎在工作面移架后行走过程中，将左手放置在两块电缆槽接茬处，支架间掉块矸石，造成左手被砸伤。
工伤事故,放液时由于脚底打滑单体倾倒，砸到徐光迎腹部。
机电事故,电源相间短路，右手腕被电弧烧伤。
工伤事故,迎头顶板未严格执行敲帮问顶制度（一人找顶、一人观察后路），帮顶活矸危岩未找净，人员站位不当，处理肩窝时未采取可靠的临时支护，导致顶板滑落的矸石砸中职工腿部至伤。
爆炸事故,506 连采工作面和开采保安煤柱工作面采空区及与之连通的老空区顶板大面积垮落，老空区气体压入与老空区连通的巷道内，扬起巷道内沉积的煤尘，弥漫506连采面，并达到爆炸浓度，在三支巷中部处于怠速状态下的无MA标志非防爆C17运煤车产生火花，点燃煤尘，发生爆炸，造成人员伤亡。
运输事故,当班采煤工作面攉煤工刘大军安全意识淡薄，违反采煤工作面作业规程和安全技术措施的规定，违章跨越正在运行的刮板输送机，在跨越时不慎摔倒，被刮板输送机拖行至采煤机电机处受撞击和挤压而受伤致死。
机电事故,钳工进入破碎机箱体内作业时，未使用滚筒制动卡具和检修平台，电工在未确认安全的情况下启动破碎机，致使钳工被破碎机卷压，导致本次事故发生。
运输事故,无轨胶轮车驾驶员未按规定在斜巷驻车，误将手套挂在手动驻车器上使车辆下滑，未及时采取有效紧急制动措施，将在两车之间违规通过的工人撞击、挤压，导致本次事故发生。
顶板事故,工人违章作业，在未先支设好替换液压单体支柱的情况下直接卸载原有支柱；上端头上方断裂的顶板受回撤支柱扰动影响失稳冒落，导致事故发生。
顶板事故,职工违章进入未采取临时支护的掘进工作面正头空顶区作业，被冒落的顶板离层矸石砸倒，导致事故发生。
瓦斯事故,喷浆队5名工人在未采取检查和排放瓦斯的情况下，擅自[2]打开栅栏进入盲巷作业，携带的非防爆手机[3]引燃盲巷内积聚的瓦斯，形成了瓦斯爆炸。
火灾事故,中金公司施工人员在实施斜坡道维修支护项目过程中，采用氧炔焰切割冒落区垮落的钢拱架上部凹陷的钢板时，引燃冒落区支护充填用的草垫、竹架板、圆木等可燃物造成火灾，产生的大量一氧化碳等有毒有害气体，经斜坡道随风流下行进入3号、4号破碎硐室和A1胶带运输平巷，造成9名当班作业人员一氧化碳中毒死亡。
火灾事故,"盲竖井VV22 3*185mm2铠装低压电缆因质量不合格,在使用中发热老化,达到一定程度后,在12中段下方60米断点处绝缘层被电流击穿,发生短路,产生电弧,引燃自身及靠近的玻璃钢隔板,是事故发生的直接原因。"
火灾事故,兴利公司风井井巷钢棚支护施工过程中，作业人员在电焊作业时引燃木背板，致使用于接帮和接顶的木背板燃烧，产生的一氧化碳等有毒有害气体经风井与副井之间的旧巷和冒落的老空区形成的漏风通道进入副井，造成人员伤亡。
火灾事故,1月14日，吉林老金厂金矿股份有限公司在老牛槽区二段盲竖井-483米至-486米间进行焊割安装钢支护作业时，掉落的金属熔化物(焊渣和熔珠)造成井筒衬木阴燃，导致发生火灾。
火灾事故,李生文矿维修工在盲1井的井筒内违章使用电焊，焊割下的高温金属残渣掉落在井壁充填护帮的荆笆上，造成长时间阴燃，最后引燃井筒周围的荆笆及木支护等可燃物，引发井下火灾。
爆炸事故,导爆管雷管在裸露运送途中造成导爆管破损，破损的导爆管雷管在无防爆设施的躲避硐 室内发放，遇到漏电产生的电火花引发导爆管雷管爆炸，继而引发炸药爆炸。
爆炸事故,井下作业人员违章用照明白炽灯泡集中取暖，时间长达18个小时，使易燃的编织袋等物品局部升温过热，造成灯泡炸裂引起着火，引燃井下大量使用的编织袋及聚乙烯风管、水管，火势迅速蔓延，引起其他巷 道和井下炸药库燃烧，导致炸药爆炸。在爆炸冲击波作用下，风流逆转，燃烧、爆炸产生的大量高温、有毒、有害气体进入三部平巷等处，造成井下大量人员中毒窒息死亡。
爆炸事故,经专案组分析认为该矿工队爆破工石某某违反民用爆炸物品管理规定，在工棚内放置爆炸物品并吸烟所致(在无人证的情况下，根据掌握的材料分析、推断，2日凌晨2点至2点40分期间违章在房间内接雷管导火线并吸烟，引发房间内炸药爆炸)。
工伤事故,开拓队班长贾某某使用剁斧直接剁钢丝绳，操作方法不正确，是造成这起事故的直接原因。
瓦斯事故,二掘队未严格执行作业规程，炮眼布置不符合作业规程规定。违反作业规程采用反向起爆，未使用水炮泥，放炮时产生了明火，引燃了放炮时涌出的瓦斯和顶板积聚区的瓦斯，引起火灾。
爆炸事故,管理混乱，在向井下运送民用爆炸物品（以下简称民爆物品）的过程中，严重违章作业，炸药、雷管混装吊运，野蛮装卸时发生爆炸
瓦斯事故,宝马煤矿借回撤越界区域内设备名义违法组织生产，6040 巷采工作面因停电停风，造成瓦斯积聚；1小时后恢复供电通风，积聚的高浓度瓦斯排入与之串联通风的6040 综放工作面，遇到正在违规焊接支架的电焊火花引起瓦斯燃烧，产生的火焰传导至6040 工作面进风顺槽，引起瓦斯爆炸。
火灾事故,"电焊工在副井井口运输平台违章电焊，产生的高温焊渣引燃 运输平台负一层内可燃物,致提升机电力电缆线、信号电缆线和 井口操车系统液压油管及液压油燃烧。由于副井井口辅助提升到 位停车开关信号电缆着火造成线路短路，提升机实施一级制动， 致使罐笼提升 59m(由-500m 标高水平上提至-441m 标高水平）后 停止运行。此时，副井平衡锤侧提升钢丝绳处于高温火区内、抗 拉强度急剧下降，在静张力的作用下断裂，造成罐笼坠落（坠落 高度 94m）。"
爆炸事故,祖保煤矿开采的Ⅱ煤层具有煤尘爆炸危险性；暗主斜井超挂矿车，没有安装保险绳，串车提煤至上车场变坡点时，材料车下部碰头插销孔上部断裂，插销窜出造成跑车；跑车过程中矿车中的煤炭抛出，导致煤尘飞扬达到爆炸浓度；跑车时矿车撞击主斜井左侧供电电缆，电缆短路产生火花引起煤尘爆炸，造成人员伤亡。
顶板事故,担水沟煤业超能力生产、生产布局集中、接替顺序不合理、巷道压力明显增大时未采取有效措施，致使采动应力叠加诱发冲击地压是造成本次顶板事故的直接原因。
瓦斯事故,辛家煤矿开采煤层具有突出危险性，+617m采煤工作面位于采动应力集中区，未按规定采取防治煤与瓦斯突出措施，在未消除突出危险的情况下违法生产，割煤机扰动诱发煤与瓦斯突出。
瓦斯事故,宝马煤矿借回撤越界区域内设备名义违法组织生产，6040巷采工作面因停电停风，造成瓦斯积聚；1小时后恢复供电通风，积聚的高浓度瓦斯排入与之串联通风的6040综放工作面，遇到正在违规焊接支架的电焊火花引起瓦斯燃烧，产生的火焰传导至6040工作面进风顺槽，引起瓦斯爆炸。
瓦斯事故,二段40煤层左二片局扇采煤工作面，在未形成全风压通风系统情况下沿断层推采，局扇供风造成工作面微风，导致瓦斯积聚达到爆炸界限；工人违章放炮，放炮火焰引爆瓦斯，煤尘参与爆炸
瓦斯事故,事故直接原因是金山沟煤矿在超层越界违法开采区域采用国家明令禁止的巷道式采煤工艺不能形成全风压通风系统使用一台局部通风机违规同时向多个作业地点供风风量不足造成瓦斯积聚违章裸眼爆破产生的火焰引爆瓦斯煤尘参与了爆炸。
火灾事故,中金公司施工人员在实施斜坡道维修支护项目过程中，采用氧炔焰切割冒落区垮落的钢拱架上部凹陷的钢板时，引燃冒落区支护充填用的草垫、竹架板、圆木等可燃物造成火灾，产生的大量一氧化碳等有毒有害气体，经斜坡道随风流下行进入3号、4号破碎硐室和A1胶带运输平巷，造成9名当班作业人员一氧化碳中毒死亡。
透水事故,受采动影叫响，Z乙F202工作面上複岩层间离层空腔及积水量不断増加，形成了泥沙流体；在工作面出现透水征北后，继续冒险作业业，引发工作面煤壁切顶冒落导通泥沙流体，导致事故发生。
顶板事故,6410放顶煤工作面采用单体液压支柱配合π型钢梁支护（国家明令禁止使用的采煤工艺），支护强度不够、稳定性差，直接顶局部断裂、失稳，导致工作面部分支架倒塌、顶煤垮落，造成人员伤亡。
瓦斯事故,4112运输巷掘进工作面位于复杂地质构造带，第一单元45个区域防突底板穿层抽采瓦斯钻孔中，有个别钻孔控制巷道两帮距离不符合规定，采取的顺层钻孔补充防突措施未能消除工作面突出危险；未执行该矿班班都要进行工作突出危险性预测要求，事故前连续3个小班未进行工作面突出危险性预测；工作面出现煤层变软、片帮、瓦斯忽大忽小等突出预兆后没有认真分析并及时采取措施；掘进工作面片帮、漏顶诱导煤与瓦斯突出。
爆炸事故,2016年1月6日，陕西省榆林市神木县乾安煤矿在露天采区南部违规爆破，爆破冲击波扬起巷道内煤尘，达到爆炸浓度，爆破火焰引起了煤尘爆炸；爆炸产生的一氧化碳等有毒有害气体沿巷道涌入相邻刘家峁煤矿违规生产区域，造成11人死亡。
火灾事故,兴利公司风井井巷钢支护施工过程中，作业人员在电焊作业时弓燃木背板，致使用于接帮和接顶的木背板燃烧，产生的一氧化碳等有毒有害气体经风井与副井之间的日巷和冒落的老空区形成的漏风通道进入副井，造成人员伤亡。
爆炸事故,宝马煤矿借回撤越界区域内设备名义违法组织生产，6040 巷采工作面因停电停风，造成瓦斯积聚；1小时后恢复供电通风，积聚的高浓度瓦斯排入与之串联通风的6040 综放工作面，遇到正在违规焊接支架的电焊火花引起瓦斯燃烧，产生的火焰传导至6040 工作面进风顺槽，引起瓦斯爆炸。
火灾事故,一是非法超层越界组织施工。该矿违规在未经批准的K8煤层布置掘进工作面。二是未落实煤矿井下探放水措施和隐患排查制度。该矿没有认真排查矿区范围内的水害隐患等隐蔽致灾因素，盲目掘进、以掘代探。三是不执行安全监管监察指令。
瓦斯事故,永吉煤矿E10煤层-228上山以西采空区煤炭自燃；该矿对火区采取水淹灭火措施后，在未依规证实火区熄灭的情况下，违规启封火区；煤炭自燃引起采空区内积聚的瓦斯爆炸，导致事故发生。
瓦斯事故,12172下山掘进工作面没有采取防突措施；8月5日，工作面发生了突出事故后，没有停止作业、分析原因、采取有效措施治理瓦斯，8月6日，盲目施工瓦斯排放孔时又出现顶钻、卡钻、喷孔等突出征兆，该矿有关负责人仍然违章指挥、冒险组织作业，放炮后诱导煤与瓦斯延时突出导致事故发生。
透水事故,对8446综采工作面上覆7#煤层老空（巷）积水和回采过程中出现的透水征兆，未采取有效措施治理，随着工作面推进，采空区悬顶面积不断增大，在上覆岩体和7#煤层老空区水体共同压力作用下，顶板瞬间垮落导致大量上覆老空积水突然溃出，是造成这起事故发生的直接原因。
工伤事故,支架工秦某在后立柱未升紧的情况下，也没有采取其他安全措施，就违章处理支架前立柱加长段，是造成本起事故的直接原因。
瓦斯事故,"因井下监控分站电源漏电造成1705工作面区停电，1705工作面改造巷停风、瓦斯积聚；恢复送电时，采取“一风吹""的方式将1705工作面改造巷内积聚的高浓度瓦断压出；误启动1705改造巷开口4米位置闲置的风机，变形叶片运转产生摩火花，造成瓦断爆作。"
瓦斯事故,直接原因瓦斯管理不到位，造成瓦斯超限。工作面放炮导致瓦斯爆炸。
爆炸事故,5336综放工作面72#～76#支架处在处理片冒的大块煤岩体时，违章放“糊炮”爆破大块煤岩，扬起的煤尘达到爆燃浓度，放炮引起煤尘爆燃。
顶板事故,米泉沙沟煤矿+615m45#煤层综放面上部存在小窑采空区大面积悬顶，违规放顶煤开采，导致采空区顶板大面积冒落，压出大量有毒有害气体，造成作业人员窒息死亡。
瓦斯事故,1404回风顺槽掘进工作面施工进入复杂地质构造带，未调整区域防突措施，钻孔覆盖面未达到要求，煤体实际未消突
透水事故,事故区城煤层瓦所含量高高，有进行行瓦斯抽采；采用国家明令淘汰的以掘代采“的采煤方法；通风能力不足，局部通风机循手环风；瓦斯积。违章放炮产生的火源。引起瓦斯爆爆炸。
透水事故,皮带道皮带着火，有毒有害气体沿风流进入30#层左四采煤工作面，造成该工作面作业人员中毒窒息死亡
瓦斯事故,"该矿在708工作面密闭火区未熄灭的情况下,盲目决定缩小封闭范围。在违规打开原密闭、施工新密闭过程中,新鲜风流进入封闭区域,氧气和瓦斯浓度达到爆炸界限,遇采空区明火,发生瓦斯爆炸。"
瓦斯事故,该矿区域和局部防突措施落实不到位，1601回风顺槽槽2#联络巷揭穿的M6煤层末消除，石门揭煤时放炮诱发煤与斯突出。
瓦斯事故,该矿对瓦斯灾害的严重性认识不足，警惕性不高，治理和防范措施不到位，需要进一步完善和改进。
瓦斯事故,该矿非去越界组只生产，121701炮采工作面采用非正规采某方法，采用局甬风机供风进行采煤，违规串联通风、循环风，工作面微风作业，造成瓦斯积聚并达到农度界p限，违章放炮产生火焰引起所炸。
透水事故,下海子煤矿非法越界开采相邻的陆东煤矿三号井C24煤保安煤柱，掘进工作面不进行探放水作业，放炮贯通采空区积水，诱发透水事故。
瓦斯事故,603东顺槽因抽采不达标，超出允许控制范围掘进，违章作业造成的煤与瓦斯突出事故。
运输事故,现场作业人员无证擅自操作架线电机车，在倒车过程中撞上 装有轨道的物料车，物料车上的轨道撞入电机车驾驶室致其受伤， 是导致该起事故的直接原因。
运输事故,杨喜平摔倒被电机车碾压致死。
运输事故,渣车司机在排土场排渣时，车辆从排土场滑落，是造成这起事故发生的直接原因。
运输事故,把钩工在55轨道暗绞最大允许提升4个重车的情况下，在上部车场挂了16个车，下放时提升钢丝绳被拉断，造成跑车，作业人员违规蹬在矿车上，跑车后蹬车人员被甩下，引发事故。
机电事故,219-205综采工作面下出口对接工作面溜子槽作业过程中，作业人员站在危险区域内，俯身在溜子机头架上方拉拽溜子顶链时，溜子机头架突然向上倾斜翘起，将作业人员挤在综采支架顶梁和机头架间引发事故。
机电事故,作业人员在采煤工作面下出口安装迈步支架，起吊顶梁过程中，顶梁倾斜、摆动，将违章进入作业区域的张井军撞伤致死。
瓦斯事故,4112运输巷掘进工作面位于复杂地质构造带，第一单元45个区域防突底板穿层抽采瓦斯钻孔中，有个别钻孔控制巷道两帮距离不符合规定，采取的顺层钻孔补充防突措施未能消除工作面突出危险；未执行该矿班班都要进行工作突出危险性预测要求，事故前连续3个小班未进行工作面突出危险性预测；工作面出现煤层变软、片帮、瓦斯忽大忽小等突出预兆后没有认真分析并及时采取措施；掘进工作面片帮、漏顶诱导煤与瓦斯突出。
顶板事故,作业地点采用锚杆、锚索、单体工字钢梁“一梁二柱”联合支护，顶板有隐蔽构造，锚杆长度不足，失去支护作用；作业人员安装综采液压支架时，在没有先补打临时支护的情况下，撤掉原支护“一梁二柱”的一根支柱，造成支护强度不足，产生局部冒顶，引发大面积冒顶；作业人员没有听从指挥，未及时撤出危险区域，导致事故发生。
运输事故,在处理掉道人车过程中，把钩工在作业人员未撤离危险区域的情况下，打提车信号，运行的人车将作业人员挤在巷壁上，导致事故发生。
顶板事故,作业人员在09001采煤工作面开帮扩面过程中，由于帮顶破碎、压力大，未及时有效控制顶板，导致帮顶冒货将魏君埋压。
顶板事故,作业人员在+53m水平1202采煤工作面集中溜子道三岔口翻修作业时，对“抬棚”和“窜梁”加固强度不够，顶板来压，引发冒顶，三人被埋压致死。
运输事故,作业人员在距离采煤机尾部1米左右跨越工作面运转的刮板输送机时，倒在刮板输送机上，被刮板输送机拉至采煤机下，挤压致死，导致事故发生
瓦斯事故,1803溜子道掘进工作面局部通风机长时间停风，导致瓦斯积聚，作业人员违章进入，造成窒息死亡。
运输事故,作业人员用矿车向井下运送长度2.25米的圆木，装车高度1.85米。作业人员乘坐临近装载圆木的矿车一同入井，在矿车运行至巷道高度低于2米处时，造成圆木刮碰巷道棚梁，导致圆木一端翘起顶在棚梁上，另一端插入作业人员乘坐的矿车内，将作业人员撞击致死引发事故。
顶板事故,作业人员在1231-2采煤工作面运输顺槽进行超前替棚作业时，未加固邻近支护，顶板来压，破碎的顶板冒落，将其埋压致死。
瓦斯事故,辛家煤矿开采煤层具有突出危险性，+617m采煤工作面位于采动应力集中区，未按规定采取防治煤与瓦斯突出措施，在未消除突出危险的情况下违法生产，割煤机扰动诱发煤与瓦斯突出。
瓦斯事故,13采区+168mn媒回采工作面违规采用巷道式采煤、局部通风机供风，风量不足，引起斯积聚并达到爆炸浓度。在未检查瓦斯的情况下违规放炮，因发爆器接线桂产生电引起瓦所爆炸，造成人员伤亡。
瓦斯事故,桃子沟煤矿违法违规组织生产的3111采煤工作面6支巷采煤作业点区域处于无风微风状态，瓦斯积聚达到爆炸浓度；放炮后，残药燃烧，引爆积聚瓦斯。
瓦斯事故,庆兴煤矿违法违规组织生产，器意隐瞒作业地点点，在+214m标高三段十一路采用国家明令禁止的巷道式采煤方法，未形成全负压通风系统，造成瓦斯积聚，违章放短引起瓦斯焊炸。
瓦斯事故,八宝煤矿忽视防灭火管理工作，措施严重不落实，-4164东水采工作面上区段采空区漏风，煤炭自燃发火，引起采空区瓦斯爆炸，爆炸产生的冲击波和大量有毒有害气体造成人员伤亡。
瓦斯事故,13302底抽巷处于地质构造带，在已揭露煤层有突出预兆的情况下，未采取防突措施，破碎顶板冒落导致发生煤与瓦斯突出事故。
火灾事故,维修密闭作业使用无媒安标志的空气压缩机，空气压缩机着火，引燃附近区城琶道木支护抑，产生大量有、有害气体，造成下风12名工人CO中毒死亡、1人失踪。
瓦斯事故,在该区域1B1排煤层且有较强的危险性，而实施的石门掲煤区防突措施存在不足、区域措施效果检验数据測不合理，未消除突出危险的惜況下使用风镐則右帮硬底时诱发了本次煤与瓦斯突出
瓦斯事故,瓦斯区域治理措施不到位，在煤层没有消突情况下组织生产。
瓦斯事故,该矿402回采工作面采空区大面积空顶，致使采空区瓦斯积聚，达到爆炸界限；顶板受采动影响冒落，老顶岩石在冒落过程中断裂、摩擦、碰撞产生火花，引起瓦斯爆炸，是造成这起事故的直接原因。
瓦斯事故,放炮员违反《煤矿安全规程》第六十八条、第三百二十八条的规定，违章在3476工作面采空区放炮放顶煤引起采空区积聚的瓦斯爆炸。
透水事故,二水平三石门在掘进过程中由于地质条件发生变化，附近出现断层，巷道围岩破碎，顶板板离层松动。同时由于61煤煤巷的开堀，巷道应力集中，矿压显现增强。
火灾事故,15#层-140运输平巷石门口处变压器至馈电开关之间低压橡套电缆被冒落的岩石砸伤，绝缘损坏，造成相间短路，电缆着火，引燃周边可燃物及煤壁，导致火灾事故发生、人员中毒窒息死亡。
瓦斯事故,肖家湾煤矿非法违法开采区域的10号煤层提升下山采掘作业点和+1220 米平巷下部8号煤层部分采掘作业点无风微风作业，9瓦斯积聚达到爆炸浓度；10号煤层提升下山采掘作业点提升绞车信号装置失爆，操作时产生电火花引爆瓦斯；在爆炸冲击波高温作用下，1220 米平巷下部8号和9号煤层部分采掘作业点积聚的瓦斯发生二次爆炸，造成事故扩大。
瓦斯事故,该矿地质情况未查清，瓦斯治理不到位， +290m东二石门运输巷上山掘进工作面掘进施工遇到瓦斯异常涌出的地质构造后，未采取安全技术防范措施，瓦斯积聚达到爆炸界限，经分析认定，工字钢支架垮落互相撞击产生火花引起瓦斯爆炸。
